ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,5,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Games,1,8,3,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Games,1,8,3,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Games,1,8,3,2016
,Sunnyvale,Games,1,8,4,2016
,Sunnyvale,Intro,1,8,4,2016
,Sunnyvale,Intro,1,8,3,2016
,Sunnyvale,Intro,1,8,4,2016
,Sunnyvale,Intro,1,8,3,2016
,Sunnyvale,Intro,1,8,4,2016
,Sunnyvale,Intro,1,8,3,2016
,Sunnyvale,Intro,1,8,3,2016
,Sunnyvale,Intro,1,8,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,4,2016
,Sunnyvale,Apps,1,10,4,2016
,Sunnyvale,Apps,1,10,3,2016
,Sunnyvale,Apps,1,10,4,2016
,Sunnyvale,Apps,1,10,4,2016
,Sunnyvale,Games,1,10,4,2016
,Sunnyvale,Games,1,10,2,2016
,Sunnyvale,Games,1,10,3,2016
